UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure_Probability,Risk_Score,Risk_Level,Predicted_Failure_Type,Failure_Type_Probability,TWF_Probability,HDF_Probability,PWF_Probability,OSF_Probability,Key_Risk_Factor,Recommended_Action
29,L47208,L,299.1,309.4,1439,44.2,82,0,0.009655674,0.9655674,Low,Normal,2.1526683e-05,2.2695735e-06,2.0712809e-05,3.037825e-06,2.1526683e-05,No Major Risk Factor,정상 모니터링
30,L47209,L,299.0,309.4,1693,30.1,84,0,0.00068972824,0.068972826,Low,Normal,2.7124006e-05,1.51739705e-05,2.7124006e-05,1.0532917e-05,2.1526683e-05,No Major Risk Factor,정상 모니터링
31,M14890,M,299.1,309.5,1339,48.2,86,0,0.003837431,0.3837431,Low,Normal,6.326629e-05,9.05259e-06,6.326629e-05,3.5195146e-05,1.6657854e-05,No Major Risk Factor,정상 모니터링
32,L47211,L,299.0,309.4,1798,25.5,89,0,0.0009923932,0.09923933,Low,Normal,3.122263e-05,2.3273435e-05,2.6168796e-05,3.122263e-05,2.1526683e-05,High RPM,정상 모니터링
33,L47212,L,299.0,309.4,1419,48.3,91,0,0.002270985,0.2270985,Low,Normal,2.7937955e-05,2.2953718e-06,2.7937955e-05,8.547488e-06,2.1526683e-05,No Major Risk Factor,정상 모니터링
34,L47213,L,298.9,309.3,1665,32.5,93,0,0.00031051252,0.031051252,Low,Normal,2.6168796e-05,6.724334e-06,2.6168796e-05,9.138166e-06,2.1526683e-05,No Major Risk Factor,정상 모니터링
35,M14894,M,298.8,309.1,1559,34.7,95,0,0.0003177786,0.031777862,Low,Normal,2.8695646e-05,8.468758e-06,2.8695646e-05,2.705356e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
36,M14895,M,298.8,309.2,1452,48.6,98,0,0.0031231067,0.31231067,Low,Normal,2.9513492e-05,3.1165716e-06,2.9513492e-05,2.8005521e-05,1.735594e-05,No Major Risk Factor,정상 모니터링
37,M14896,M,298.9,309.2,1581,36.7,101,0,0.00061446114,0.061446115,Low,Normal,2.8695646e-05,5.4472525e-06,2.8695646e-05,2.586933e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
38,L47217,L,298.8,309.1,1439,39.2,104,0,0.0066514793,0.6651479,Low,Normal,2.6168796e-05,1.639427e-05,2.6168796e-05,8.853065e-06,2.1526683e-05,No Major Risk Factor,정상 모니터링
39,H29452,H,298.9,309.2,1379,50.7,106,0,0.0014396625,0.14396626,Low,Normal,0.00012303187,1.0595158e-05,0.00012303187,2.6021946e-05,1.8235609e-05,No Major Risk Factor,정상 모니터링
40,L47219,L,298.8,309.1,1350,52.5,111,0,0.00047802174,0.047802173,Low,Normal,0.00010233049,5.065444e-06,0.00010233049,1.6275411e-05,2.3035313e-05,High Torque,정상 모니터링
41,L47220,L,298.8,309.1,1362,45.4,113,0,0.0041465447,0.41465446,Low,Normal,0.000115576964,1.1002495e-05,0.000115576964,1.3635454e-05,2.0184267e-05,No Major Risk Factor,정상 모니터링
42,L47221,L,298.8,309.1,1368,50.8,115,0,0.00079902005,0.07990201,Low,Normal,0.00019233566,5.5269006e-06,0.00019233566,1.6534166e-05,2.2215123e-05,No Major Risk Factor,정상 모니터링
43,M14902,M,298.8,309.1,1368,49.1,117,0,0.0011536359,0.11536359,Low,Normal,0.00033957022,8.834679e-06,0.00033957022,4.8940416e-05,1.7084489e-05,No Major Risk Factor,정상 모니터링
44,H29457,H,298.8,309.2,1372,48.5,120,0,0.002104247,0.21042469,Low,Normal,0.00041749203,1.2877594e-05,0.00041749203,1.1176141e-05,1.6568545e-05,No Major Risk Factor,정상 모니터링
45,M14904,M,298.8,309.1,1472,47.5,125,0,0.0005099229,0.05099229,Low,Normal,3.0123258e-05,2.4639178e-06,2.7889131e-05,3.0123258e-05,1.735594e-05,No Major Risk Factor,정상 모니터링
46,L47225,L,298.8,309.1,1489,49.1,128,0,0.00048013794,0.048013795,Low,Normal,3.126285e-05,2.130606e-06,3.126285e-05,9.674299e-06,2.3485913e-05,No Major Risk Factor,정상 모니터링
47,M14906,M,298.7,309.0,1843,25.8,130,0,0.00037571715,0.037571713,Low,Normal,2.8467537e-05,2.8467537e-05,2.8310378e-05,2.0540141e-05,1.7312861e-05,High RPM,정상 모니터링
48,L47227,L,298.8,309.1,1418,46.3,133,0,0.0006912974,0.06912974,Low,Normal,2.1526683e-05,4.2880774e-06,2.088653e-05,9.207247e-06,2.1526683e-05,No Major Risk Factor,정상 모니터링
49,H29462,H,298.8,309.2,1425,53.9,135,0,0.001811091,0.1811091,Low,Normal,3.8581624e-05,7.3408805e-06,3.217536e-05,1.2123017e-05,3.8581624e-05,High Torque,정상 모니터링
50,M14909,M,298.9,309.2,1412,44.1,140,0,0.0009520385,0.095203854,Low,Normal,2.5390767e-05,3.958698e-06,2.5390767e-05,1.9590627e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
51,L47230,L,298.9,309.1,2861,4.6,143,1,0.99704856,99.70486,Critical,PWF,0.99058795,0.00018374233,2.918371e-05,0.99058795,2.186611e-05,High RPM,즉시 점검: RPM / Torque / Power
52,L47231,L,298.9,309.1,1383,54.9,145,0,0.0013124075,0.13124076,Low,Normal,8.559378e-05,1.5240233e-05,2.9267603e-05,3.1302827e-06,8.559378e-05,High Torque,정상 모니터링
53,H29466,H,298.8,309.0,1497,43.8,147,0,0.00072626915,0.07262692,Low,Normal,2.6505453e-05,4.499964e-06,2.6505453e-05,7.941741e-06,1.7312861e-05,No Major Risk Factor,정상 모니터링
54,L47233,L,298.7,309.0,1565,35.1,152,0,0.00041202814,0.041202813,Low,Normal,2.6827984e-05,2.4767436e-05,2.6827984e-05,4.349055e-06,2.1526683e-05,No Major Risk Factor,정상 모니터링
55,L47234,L,298.7,309.0,1691,30.1,154,0,0.0010358312,0.10358312,Low,Normal,5.3097705e-05,5.3097705e-05,2.3787352e-05,2.2932736e-06,2.1526683e-05,No Major Risk Factor,정상 모니터링
56,L47235,L,298.8,309.1,1512,40.7,156,0,0.00044565194,0.044565193,Low,Normal,2.3623905e-05,8.3928435e-06,2.3623905e-05,3.404616e-06,2.1526683e-05,No Major Risk Factor,정상 모니터링
57,L47236,L,298.8,309.1,1477,42.4,158,0,0.00055524515,0.055524513,Low,Normal,2.3623905e-05,7.587365e-06,2.3623905e-05,3.404616e-06,2.1526683e-05,No Major Risk Factor,정상 모니터링
58,L47237,L,298.8,309.1,1513,40.3,160,0,0.00064942485,0.06494249,Low,Normal,2.3623905e-05,1.0049444e-05,2.3623905e-05,3.404616e-06,2.1526683e-05,No Major Risk Factor,정상 모니터링
59,M14918,M,298.8,309.0,1661,29.5,162,0,0.0017681733,0.17681733,Low,Normal,9.343951e-05,9.343951e-05,2.6084257e-05,9.683732e-06,1.7312861e-05,No Major Risk Factor,정상 모니터링
60,L47239,L,298.8,309.1,1378,54.4,165,0,0.00092805986,0.09280599,Low,Normal,0.00010617524,1.9634972e-05,0.00010617524,3.147213e-06,7.5616066e-05,High Torque,정상 모니터링
61,L47240,L,298.8,309.1,1393,52.6,167,0,0.0004254021,0.04254021,Low,Normal,5.228886e-05,1.8102262e-05,2.7534852e-05,3.311551e-06,5.228886e-05,High Torque,정상 모니터링
62,M14921,M,298.8,309.0,1592,38.2,169,0,0.00059526856,0.059526857,Low,Normal,3.236308e-05,1.5858406e-05,2.6928104e-05,3.236308e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
63,L47242,L,298.8,309.0,1829,22.9,172,0,0.0026002813,0.26002812,Low,Normal,4.1263243e-05,4.1263243e-05,2.3787352e-05,2.5779342e-05,2.186611e-05,High RPM,정상 모니터링
64,M14923,M,298.9,309.0,1812,25.9,174,0,0.0017412597,0.17412597,Low,Normal,7.970333e-05,7.970333e-05,2.6084257e-05,7.577408e-05,1.7312861e-05,High RPM,정상 모니터링
65,L47244,L,299.0,309.1,1523,38.6,177,0,0.0007371847,0.07371847,Low,Normal,5.5815737e-05,5.5815737e-05,2.6631527e-05,5.29122e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
66,L47245,L,299.0,309.1,1394,45.1,179,0,0.0011009187,0.11009187,Low,Normal,4.4666078e-05,3.611034e-05,2.2806238e-05,4.4666078e-05,2.6966858e-05,No Major Risk Factor,정상 모니터링
67,M14926,M,298.9,308.9,1679,28.7,181,0,0.007040926,0.70409256,Low,Normal,0.0002373271,0.00016946778,2.4124685e-05,0.0002373271,1.7312861e-05,No Major Risk Factor,정상 모니터링
68,H29481,H,298.8,308.9,1466,44.1,184,0,0.0025204879,0.2520488,Low,Normal,0.00022234235,6.181184e-05,2.3152013e-05,0.00022234235,1.8418461e-05,No Major Risk Factor,정상 모니터링
69,L47248,L,298.8,308.9,1527,32.4,189,0,0.0013615906,0.13615906,Low,Normal,0.00044781418,0.00044781418,2.447453e-05,0.00016027494,2.3796269e-05,No Major Risk Factor,정상 모니터링
70,L47249,L,298.9,309.0,1410,65.7,191,1,0.9997441,99.97441,Critical,OSF,0.99987745,9.183253e-05,2.5742174e-05,0.9994924,0.99987745,High Torque,즉시 점검: Torque 및 Tool Wear 동시 고위험
71,M14930,M,298.9,309.0,1924,22.6,193,0,0.0052700983,0.52700984,Low,Normal,0.00017369744,0.00017369744,2.472859e-05,5.3675536e-05,1.8980185e-05,High RPM,정상 모니터링
72,L47251,L,298.9,309.1,1452,45.5,196,0,0.0012835005,0.12835005,Low,Normal,3.2690667e-05,1.1233727e-05,2.638737e-05,2.9108636e-05,3.2690667e-05,High Tool Wear,정상 모니터링
73,L47252,L,298.9,309.1,1369,44.4,198,0,0.0037223522,0.3722352,Low,Normal,0.00023688424,0.00023688424,0.00011587613,2.292989e-05,2.2528702e-05,High Tool Wear,정상 모니터링
74,L47253,L,299.0,309.1,1592,35.0,200,0,0.00061179756,0.061179757,Low,Normal,0.0007394514,0.0007394514,2.7101278e-05,3.020982e-05,2.4918303e-05,High Tool Wear,정상 모니터링
75,L47254,L,298.9,309.0,1601,32.3,202,0,0.00057687203,0.057687204,Low,Normal,0.0005402716,0.0005402716,2.7101278e-05,3.295504e-05,2.8438664e-05,High Tool Wear,정상 모니터링
76,L47255,L,298.8,308.9,1379,46.7,204,0,0.21650158,21.650158,Medium,TWF,0.16048656,0.16048656,3.069043e-05,8.452515e-05,3.987791e-05,High Tool Wear,추세 모니터링 및 예방 점검
77,L47256,L,298.8,308.9,1461,47.9,206,0,0.02184463,2.184463,Low,Normal,0.0096366415,0.0096366415,2.7301643e-05,0.000107299726,8.12422e-05,High Tool Wear,정상 모니터링
78,L47257,L,298.8,308.9,1455,41.3,208,1,0.9488592,94.885925,Critical,TWF,0.99373525,0.99373525,2.961239e-05,0.000107299726,5.3475007e-05,High Tool Wear,즉시 점검: Tool Wear 과다
79,L47258,L,298.8,308.9,1398,51.5,0,0,0.00057862204,0.057862204,Low,Normal,0.00030736777,1.3357932e-05,4.4132088e-05,0.00030736777,2.2065067e-05,No Major Risk Factor,정상 모니터링
80,L47259,L,298.8,308.9,1402,37.9,2,0,0.0009219605,0.092196055,Low,Normal,0.0003688735,0.0003688735,3.3697062e-05,0.00030736777,2.186611e-05,No Major Risk Factor,정상 모니터링
81,H29494,H,298.8,308.8,1445,49.9,4,0,0.00048809667,0.048809666,Low,Normal,0.00023629909,1.2613428e-05,3.6758705e-05,0.00023629909,1.7887718e-05,No Major Risk Factor,정상 모니터링
82,L47261,L,298.9,308.9,1450,47.5,9,0,0.0003516224,0.03516224,Low,Normal,7.354735e-05,6.3023135e-06,3.602772e-05,7.354735e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
83,L47262,L,298.9,308.9,1453,40.8,11,0,0.0003922648,0.03922648,Low,Normal,7.354735e-05,5.5833683e-05,3.3697062e-05,7.354735e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
84,L47263,L,299.0,309.0,1469,40.1,13,0,0.0001639866,0.016398659,Low,Normal,3.3697062e-05,5.9024383e-06,3.3697062e-05,2.2336319e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
85,L47264,L,298.9,308.9,1422,47.6,15,0,0.001564283,0.1564283,Low,Normal,5.6969595e-05,8.683771e-06,4.2371605e-05,5.6969595e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
86,M14945,M,299.0,309.0,1804,26.8,17,0,0.00031810327,0.03181033,Low,Normal,8.3486964e-05,1.8392746e-05,3.4836183e-05,8.3486964e-05,1.7312861e-05,High RPM,정상 모니터링
87,H29500,H,299.0,309.0,1436,43.9,20,0,0.0008099249,0.08099249,Low,Normal,2.8253577e-05,2.6577145e-06,2.8253577e-05,2.4846617e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
88,L47267,L,299.0,309.0,1544,31.8,25,0,0.00019393337,0.019393338,Low,Normal,3.3697062e-05,1.2039028e-05,3.3697062e-05,2.0091797e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
89,M14948,M,299.0,309.0,1419,45.2,27,0,0.0016272515,0.16272515,Low,Normal,4.390386e-05,2.5845607e-06,2.5967904e-05,4.390386e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
90,M14949,M,298.9,308.9,1487,39.5,30,0,0.00025871166,0.025871167,Low,Normal,8.9723384e-05,2.6248777e-05,3.4836183e-05,8.9723384e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
91,L47270,L,298.9,308.9,1753,25.8,33,0,0.00024203524,0.024203524,Low,Normal,5.4769433e-05,5.4769433e-05,3.3697062e-05,5.3462718e-05,2.186611e-05,High RPM,정상 모니터링
92,L47271,L,298.9,308.9,1830,24.9,35,0,0.000257028,0.0257028,Low,Normal,5.9631995e-05,5.9631995e-05,3.031215e-05,5.3462718e-05,2.186611e-05,High RPM,정상 모니터링
93,M14952,M,298.9,308.9,1727,27.1,37,0,0.00027885314,0.027885314,Low,Normal,0.00013819424,6.6166125e-05,3.1336847e-05,0.00013819424,1.7312861e-05,High RPM,정상 모니터링
94,L47273,L,299.1,309.0,1450,43.0,40,0,0.00032803466,0.032803465,Low,Normal,2.280752e-05,1.776903e-06,2.280752e-05,6.8421696e-06,2.186611e-05,No Major Risk Factor,정상 모니터링
95,L47274,L,299.0,308.9,1622,31.9,42,0,8.213036e-05,0.008213036,Low,Normal,3.031215e-05,1.8138759e-05,3.031215e-05,2.168842e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
96,M14955,M,299.0,309.0,1351,52.2,44,0,0.00027703264,0.027703265,Low,Normal,0.00017593672,5.4308302e-06,0.00017593672,2.244113e-05,1.8908875e-05,High Torque,정상 모니터링
97,M14956,M,299.0,309.0,1575,35.3,47,0,0.00013313763,0.013313763,Low,Normal,3.1336847e-05,7.4445093e-06,3.1336847e-05,3.0715284e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
98,M14957,M,298.9,308.9,1750,29.9,50,0,0.00018975524,0.018975524,Low,Normal,6.9785405e-05,3.1498395e-05,3.1336847e-05,6.9785405e-05,1.7312861e-05,High RPM,정상 모니터링
99,L47278,L,298.9,308.8,1529,32.7,53,0,0.00013334624,0.0133346245,Low,Normal,5.8884212e-05,5.8884212e-05,2.759913e-05,1.6537353e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
100,L47279,L,298.8,308.8,1523,44.4,55,0,0.00017323862,0.01732386,Low,Normal,4.0365197e-05,5.418363e-06,4.0365197e-05,1.6664702e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
101,L47280,L,298.8,308.9,1852,25.0,57,0,0.00082023925,0.082023926,Low,Normal,0.00014917365,0.00014917365,3.031215e-05,4.8506074e-05,2.186611e-05,High RPM,정상 모니터링
102,L47281,L,298.8,308.8,1991,20.7,59,0,0.00044546995,0.044546995,Low,Normal,0.000113515795,0.000113515795,3.031215e-05,3.744731e-05,2.186611e-05,High RPM,정상 모니터링
103,L47282,L,298.8,308.8,1555,40.6,61,0,0.00015008736,0.015008736,Low,Normal,2.2160131e-05,8.783391e-06,2.2160131e-05,1.6909267e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
104,M14963,M,298.8,308.8,1441,40.5,63,0,0.00096458074,0.09645808,Low,Normal,0.00018251725,0.00018251725,2.8532115e-05,5.7096753e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
105,L47284,L,298.8,308.7,1450,43.4,66,0,0.0006369584,0.06369584,Low,Normal,2.2160131e-05,5.569462e-06,2.2160131e-05,8.08098e-06,2.186611e-05,No Major Risk Factor,정상 모니터링
106,L47285,L,298.8,308.7,1591,31.1,68,0,9.833524e-05,0.009833524,Low,Normal,2.6815735e-05,2.4433788e-05,2.6815735e-05,2.1021191e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
107,L47286,L,298.8,308.7,1445,48.5,70,0,0.0020535802,0.20535803,Low,Normal,3.0113548e-05,5.2491996e-06,3.0113548e-05,6.5721874e-06,2.1920518e-05,No Major Risk Factor,정상 모니터링
108,M14967,M,298.8,308.8,1497,46.8,72,0,0.00013377608,0.013377608,Low,Normal,2.698708e-05,6.611011e-06,2.698708e-05,1.9102903e-05,1.735594e-05,No Major Risk Factor,정상 모니터링
109,H29522,H,298.9,308.8,1621,32.7,75,0,9.096767e-05,0.009096767,Low,Normal,2.800229e-05,2.3191258e-05,2.800229e-05,1.3666373e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
110,L47289,L,298.9,308.7,1572,34.1,80,0,9.63634e-05,0.00963634,Low,Normal,2.7124006e-05,1.660453e-05,2.7124006e-05,1.7267203e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
111,L47290,L,298.8,308.6,1872,22.5,82,0,0.00053619844,0.053619843,Low,Normal,5.488927e-05,5.488927e-05,2.7916409e-05,2.1731608e-05,2.186611e-05,High RPM,정상 모니터링
112,H29525,H,298.7,308.6,1499,43.5,84,0,0.00030524997,0.030524997,Low,Normal,2.1759624e-05,4.9730247e-06,2.1759624e-05,6.641609e-06,1.7312861e-05,No Major Risk Factor,정상 모니터링
113,M14972,M,298.8,308.7,1498,39.5,89,0,0.00034132611,0.03413261,Low,Normal,4.084582e-05,4.084582e-05,2.8695646e-05,4.080704e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
114,M14973,M,298.8,308.6,1486,41.9,92,0,0.0002779215,0.02779215,Low,Normal,4.383847e-05,7.2068096e-06,2.3713672e-05,4.383847e-05,1.7312861e-05,No Major Risk Factor,정상 모니터링
115,L47294,L,298.8,308.6,1680,29.4,95,0,0.00047526366,0.047526367,Low,Normal,5.2794414e-05,3.419181e-05,2.6168796e-05,5.2794414e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
116,L47295,L,298.8,308.6,1431,45.7,97,0,0.000741977,0.0741977,Low,Normal,2.186611e-05,8.91885e-06,1.9506937e-05,1.8881667e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
117,L47296,L,298.9,308.7,1564,34.1,99,0,0.00010464621,0.010464622,Low,Normal,2.6168796e-05,1.783153e-05,2.6168796e-05,2.098978e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
118,L47297,L,298.8,308.6,1599,33.0,101,0,0.00013630044,0.013630044,Low,Normal,3.170819e-05,3.170819e-05,2.6168796e-05,1.988858e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
119,M14978,M,298.8,308.6,1707,28.1,103,0,0.0003508581,0.035085812,Low,Normal,4.4977292e-05,3.5887504e-05,2.8695646e-05,4.4977292e-05,1.7312861e-05,High RPM,정상 모니터링
120,L47299,L,298.7,308.5,1467,40.7,106,0,0.001038,0.1038,Low,Normal,8.596941e-05,8.596941e-05,2.6733975e-05,1.9384988e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
121,L47300,L,298.9,308.7,1433,44.7,108,0,0.0007769583,0.07769583,Low,Normal,2.2642254e-05,6.88077e-06,1.992824e-05,2.2642254e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
122,L47301,L,298.9,308.7,1558,41.2,110,0,0.00020109811,0.020109812,Low,Normal,2.186611e-05,6.2263066e-06,1.992824e-05,1.9927118e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
123,L47302,L,299.0,308.8,1310,50.7,112,0,0.00033496224,0.033496223,Low,Normal,0.0005137755,1.2324485e-05,0.0005137755,2.9995375e-05,2.2780545e-05,No Major Risk Factor,정상 모니터링
124,L47303,L,298.9,308.7,1546,43.4,114,0,9.8774406e-05,0.0098774405,Low,Normal,3.8754828e-05,2.9631246e-06,3.8754828e-05,3.7301783e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
125,L47304,L,298.9,308.7,1727,29.4,116,0,0.0001729031,0.017290311,Low,Normal,2.6733975e-05,1.8471828e-05,2.6733975e-05,2.098978e-05,2.186611e-05,High RPM,정상 모니터링
126,L47305,L,298.9,308.6,1560,32.2,118,0,0.00019665947,0.019665947,Low,Normal,3.515084e-05,3.0939624e-05,2.6733975e-05,3.515084e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
127,L47306,L,299.0,308.6,1329,60.5,120,0,0.003457893,0.34578928,Low,Normal,0.00023377512,5.715101e-05,0.00023377512,4.7267135e-05,0.00015307675,High Torque,정상 모니터링
128,L47307,L,298.9,308.6,1413,46.5,122,0,0.00045196523,0.045196522,Low,Normal,4.980878e-05,9.904944e-06,1.8066805e-05,4.980878e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
129,L47308,L,299.0,308.6,1587,38.6,124,0,0.0002734668,0.027346682,Low,Normal,3.022829e-05,1.4667974e-05,2.2092567e-05,3.022829e-05,2.186611e-05,No Major Risk Factor,정상 모니터링
