UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure_Probability,Risk_Score,Risk_Level,Predicted_Failure_Type,Max_Failure_Type_Probability,TWF_Probability,HDF_Probability,PWF_Probability,OSF_Probability,Key_Risk_Factor,Recommended_Action,Improvement_Failure_Type,Improvement_Point,Improvement_Goal,Control_Action,Improvement_Priority
42,L47221,L,298.8,309.1,1368,50.8,115,0,0.0009769524,0.09769524,Low,Normal,0.00023168928,8.232986e-06,0.00023168928,2.3221688e-05,2.2309792e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
43,M14902,M,298.8,309.1,1368,49.1,117,0,0.00168892,0.168892,Low,Normal,0.0004261853,1.2043413e-05,0.0004261853,5.594294e-05,1.8208084e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
44,H29457,H,298.8,309.2,1372,48.5,120,0,0.0014536419,0.1453642,Low,Normal,0.000517822,1.8735125e-05,0.000517822,1.6456315e-05,1.6039325e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
45,M14904,M,298.8,309.1,1472,47.5,125,0,0.000493481,0.0493481,Low,Normal,3.5648023e-05,2.9879798e-06,2.4576106e-05,3.5648023e-05,1.8350294e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
46,L47225,L,298.8,309.1,1489,49.1,128,0,0.00067380443,0.06738044,Low,Normal,4.4781016e-05,2.65848e-06,4.4781016e-05,1.45472795e-05,2.3734216e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
47,M14906,M,298.7,309.0,1843,25.8,130,0,0.0005341374,0.05341374,Low,Normal,5.391578e-05,5.391578e-05,3.4080902e-05,2.3609942e-05,1.817214e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
48,L47227,L,298.8,309.1,1418,46.3,133,0,0.0011525002,0.115250014,Low,Normal,2.0953601e-05,1.1554848e-05,1.898643e-05,1.1945898e-05,2.0953601e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
49,H29462,H,298.8,309.2,1425,53.9,135,0,0.001015522,0.1015522,Low,Normal,4.425329e-05,1.1417085e-05,4.425329e-05,1.4186952e-05,4.3873642e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
50,M14909,M,298.9,309.2,1412,44.1,140,0,0.0006541369,0.06541369,Low,Normal,2.7629834e-05,7.0085757e-06,2.7629834e-05,2.2449092e-05,1.817214e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
51,L47230,L,298.9,309.1,2861,4.6,143,1,0.9973634,99.736336,Critical,PWF,0.9941672,0.00012273519,2.9704086e-05,0.9941672,2.1284377e-05,High RPM,즉시 점검 - High RPM,PWF,High RPM,고속 회전 조건 관리,고속 회전 조건 모니터링,Critical
52,L47231,L,298.9,309.1,1383,54.9,145,0,0.0011488677,0.11488677,Low,Normal,4.5196444e-05,1.0412112e-05,4.2881675e-05,3.9594343e-06,4.5196444e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
53,H29466,H,298.8,309.0,1497,43.8,147,0,0.00076496165,0.07649616,Low,Normal,2.2328757e-05,3.9963343e-06,2.2328757e-05,9.03254e-06,1.817214e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
54,L47233,L,298.7,309.0,1565,35.1,152,0,0.00024323702,0.024323702,Low,Normal,3.0348103e-05,1.7360428e-05,3.0348103e-05,6.2228987e-06,2.0953601e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
55,L47234,L,298.7,309.0,1691,30.1,154,0,0.00072524964,0.072524965,Low,Normal,4.9871425e-05,4.9871425e-05,2.4665986e-05,2.9240402e-06,2.0953601e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
56,L47235,L,298.8,309.1,1512,40.7,156,0,0.00043415368,0.043415368,Low,Normal,2.3849318e-05,8.324069e-06,2.3849318e-05,4.5734046e-06,2.0953601e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
57,L47236,L,298.8,309.1,1477,42.4,158,0,0.0006567849,0.06567849,Low,Normal,2.1705097e-05,5.7257575e-06,2.1705097e-05,4.5734046e-06,2.0953601e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
58,L47237,L,298.8,309.1,1513,40.3,160,0,0.000597275,0.059727497,Low,Normal,2.4911104e-05,1.1316738e-05,2.4911104e-05,4.5734046e-06,2.0953601e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
59,M14918,M,298.8,309.0,1661,29.5,162,0,0.0016133031,0.16133031,Low,Normal,9.368986e-05,9.368986e-05,2.9498719e-05,8.208925e-06,1.817214e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
60,L47239,L,298.8,309.1,1378,54.4,165,0,0.0009096469,0.09096469,Low,Normal,0.00012617657,1.9078961e-05,0.00012617657,3.941791e-06,4.299104e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
61,L47240,L,298.8,309.1,1393,52.6,167,0,0.0004061478,0.04061478,Low,Normal,3.86202e-05,1.7372617e-05,3.86202e-05,4.5698516e-06,3.1327316e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
62,M14921,M,298.8,309.0,1592,38.2,169,0,0.00064989395,0.064989395,Low,Normal,2.8522076e-05,9.079115e-06,2.8522076e-05,2.5933825e-05,1.817214e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
63,L47242,L,298.8,309.0,1829,22.9,172,0,0.0015587142,0.15587142,Low,Normal,3.178824e-05,3.178824e-05,2.5764128e-05,2.7633681e-05,2.1398555e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
64,M14923,M,298.9,309.0,1812,25.9,174,0,0.0015435935,0.15435934,Low,Normal,9.109337e-05,9.109337e-05,2.9498719e-05,6.490395e-05,1.8269622e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
65,L47244,L,299.0,309.1,1523,38.6,177,0,0.000834669,0.0834669,Low,Normal,4.9528757e-05,4.258484e-05,2.8511522e-05,4.9528757e-05,2.1558815e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
66,L47245,L,299.0,309.1,1394,45.1,179,0,0.0015405677,0.15405677,Low,Normal,4.3468634e-05,2.672133e-05,2.4255325e-05,4.3468634e-05,1.947103e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
67,M14926,M,298.9,308.9,1679,28.7,181,0,0.009646895,0.96468955,Low,Normal,0.00026726333,0.00020302375,3.0166606e-05,0.00026726333,1.8575523e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
68,H29481,H,298.8,308.9,1466,44.1,184,0,0.0021467654,0.21467653,Low,Normal,0.00017663109,2.2038845e-05,2.1750973e-05,0.00017663109,2.0473219e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
69,L47248,L,298.8,308.9,1527,32.4,189,0,0.00052683026,0.052683026,Low,Normal,0.000250912,0.000250912,2.7632335e-05,0.00015404636,2.5787629e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
70,L47249,L,298.9,309.0,1410,65.7,191,1,0.99969995,99.96999,Critical,OSF,0.99988294,5.292487e-05,3.4757304e-05,0.99954295,0.99988294,High Torque,즉시 점검 - High Torque,OSF,High Torque,고토크 운전 조건 관리,Torque 추세 및 고토크 발생 구간 모니터링,Critical
71,M14930,M,298.9,309.0,1924,22.6,193,0,0.005434943,0.5434943,Low,Normal,6.401103e-05,6.401103e-05,2.9495035e-05,3.7575697e-05,2.1609472e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
72,L47251,L,298.9,309.1,1452,45.5,196,0,0.0024952071,0.24952072,Low,Normal,4.265194e-05,4.265194e-05,2.555413e-05,2.7074777e-05,2.5787629e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
73,L47252,L,298.9,309.1,1369,44.4,198,0,0.0050795,0.50795,Low,Normal,0.0003299696,0.0003299696,0.00014827485,1.9499628e-05,2.3290331e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
74,L47253,L,299.0,309.1,1592,35.0,200,0,0.0007382917,0.073829174,Low,Normal,0.00064931164,0.00064931164,2.850796e-05,2.4737834e-05,2.6094682e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
75,L47254,L,298.9,309.0,1601,32.3,202,0,0.0006116119,0.061161187,Low,Normal,0.00054918183,0.00054918183,2.850796e-05,2.4624456e-05,2.8531214e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
76,L47255,L,298.8,308.9,1379,46.7,204,0,0.25247923,25.247923,Medium,TWF,0.08888567,0.08888567,2.6098018e-05,6.4457265e-05,2.9237472e-05,High Tool Wear,추세 모니터링 - High Tool Wear,TWF,High Tool Wear,공구 마모 및 교체주기 관리,Tool Wear 추세 및 공구 교체주기 모니터링,High
77,L47256,L,298.8,308.9,1461,47.9,206,0,0.03309145,3.3091447,Low,Normal,0.0056496877,0.0056496877,2.217584e-05,8.380642e-05,5.8916507e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
78,L47257,L,298.8,308.9,1455,41.3,208,1,0.9400545,94.00545,Critical,TWF,0.99343514,0.99343514,3.9296312e-05,8.380642e-05,6.1097235e-05,High Tool Wear,즉시 점검 - High Tool Wear,TWF,High Tool Wear,공구 마모 및 교체주기 관리,Tool Wear 추세 및 공구 교체주기 모니터링,Critical
79,L47258,L,298.8,308.9,1398,51.5,0,0,0.0006306484,0.06306484,Low,Normal,0.00023659646,1.7523702e-05,6.5893415e-05,0.00023659646,2.2661976e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
80,L47259,L,298.8,308.9,1402,37.9,2,0,0.0011370801,0.11370801,Low,Normal,0.0003073077,0.0003073077,3.51373e-05,0.00022917367,2.1284377e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
81,H29494,H,298.8,308.8,1445,49.9,4,0,0.00045363067,0.045363065,Low,Normal,0.00020723931,1.6911574e-05,5.9632563e-05,0.00020723931,2.067827e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
82,L47261,L,298.9,308.9,1450,47.5,9,0,0.00039928008,0.039928008,Low,Normal,5.576355e-05,7.913217e-06,2.6278556e-05,5.576355e-05,2.1479887e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
83,L47262,L,298.9,308.9,1453,40.8,11,0,0.0005271788,0.05271788,Low,Normal,8.455135e-05,8.455135e-05,3.51373e-05,5.576355e-05,2.1479887e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
84,L47263,L,299.0,309.0,1469,40.1,13,0,0.00016440572,0.016440572,Low,Normal,3.51373e-05,8.110666e-06,3.51373e-05,2.1159629e-05,2.1479887e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
85,L47264,L,298.9,308.9,1422,47.6,15,0,0.0019584144,0.19584145,Low,Normal,5.5831442e-05,1.0238204e-05,2.8417953e-05,5.5831442e-05,2.1479887e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
86,M14945,M,299.0,309.0,1804,26.8,17,0,0.00051295245,0.051295243,Low,Normal,6.295394e-05,3.992669e-05,3.8900198e-05,6.295394e-05,1.8339062e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
87,H29500,H,299.0,309.0,1436,43.9,20,0,0.000896871,0.089687094,Low,Normal,3.104795e-05,5.118779e-06,3.104795e-05,2.3602355e-05,1.8339062e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
88,L47267,L,299.0,309.0,1544,31.8,25,0,0.00018413398,0.018413398,Low,Normal,3.51373e-05,1.7771246e-05,3.51373e-05,1.7277087e-05,2.1479887e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
89,M14948,M,299.0,309.0,1419,45.2,27,0,0.0027442544,0.27442545,Low,Normal,4.7110887e-05,8.074077e-06,2.413944e-05,4.7110887e-05,1.8339062e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
90,M14949,M,298.9,308.9,1487,39.5,30,0,0.00022423734,0.022423735,Low,Normal,0.0001082775,3.7292393e-05,3.8900198e-05,0.0001082775,1.8339062e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
91,L47270,L,298.9,308.9,1753,25.8,33,0,0.00046483675,0.046483673,Low,Normal,9.2580696e-05,9.2580696e-05,3.51373e-05,5.4664815e-05,2.1479887e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
92,L47271,L,298.9,308.9,1830,24.9,35,0,0.00046483675,0.046483673,Low,Normal,0.000113866176,0.000113866176,3.2197495e-05,5.4664815e-05,2.1479887e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
93,M14952,M,298.9,308.9,1727,27.1,37,0,0.00059036963,0.059036963,Low,Normal,0.00014091749,0.00013909176,3.5645575e-05,0.00014091749,1.8339062e-05,No Major Risk,정상 모니터링,Normal,No Major Risk,정상 상태 유지 및 모니터링,정상 상태 모니터링,Low
